ID1,ID2,PID,Awarded,Year
RIA24,SSW13,11010008,NO,2011
RIA24,RIA26,11010008,NO,2011
SSW13,RIA26,11010008,NO,2011
RIA24,RIA16,11010009,NO,2011
RIA24,RIA17,11010009,NO,2011
RIA16,RIA17,11010009,NO,2011
RIA16,PSY04,11010090,YES,2011
PSY17,PSY19,11010092,NO,2011
PHS08,BIO17,11010093,YES,2011
PT09,PB14,11010095,YES,2011
PT09,CE15,11010095,YES,2011
PB14,CE15,11010095,YES,2011
GLY05,GLY07,11010097,NO,2011
GLY05,GLY16,11010097,NO,2011
GLY07,GLY16,11010097,NO,2011
OBL12,OBL07,11010098,NO,2011
OBL12,PED04,11010098,NO,2011
OBL07,PED04,11010098,NO,2011
EEH16,BCH08,11010105,NO,2011
RIA16,RIA26,11010106,NO,2011
LAW05,CHHB04,11010223,NO,2011
CHI04,ODS09,11010224,YES,2011
CCR01,CCR02,11010225,NO,2011
CCR01,CHE11,11010225,NO,2011
CCR02,CHE11,11010225,NO,2011
FMM02,PHA02,11010227,YES,2011
FMM02,CHHB03,11010227,YES,2011
PHA02,CHHB03,11010227,YES,2011
COM02,SNG19,11010228,NO,2011
PHY06,PHY12,11010230,YES,2011
PED02,PED06,11010233,YES,2011
BIO01,BIO05,11010238,NO,2011
BIO01,PHS05,11010238,NO,2011
BIO05,PHS05,11010238,NO,2011
CSE09,CEDAR01,11010239,YES,2011
MIM03,MIM09,11010244,NO,2011
CHE01,BIO22,11010257,NO,2011
CHE01,BIO02,11010257,NO,2011
BIO22,BIO02,11010257,NO,2011
GLY04,IE15,11010261,NO,2011
CCR04,OPH08,11010262,YES,2011
RES05,RES06,11010263,YES,2011
RES05,RES10,11010263,YES,2011
RES05,RES11,11010263,YES,2011
RES06,RES10,11010263,YES,2011
RES06,RES11,11010263,YES,2011
RES10,RES11,11010263,YES,2011
GLY05,GLY07,11010275,NO,2011
GLY05,GLY16,11010275,NO,2011
GLY07,GLY16,11010275,NO,2011
BCH05,BCH15,11010278,YES,2011
OMS01,OMS02,11010283,NO,2011
EE04,EE13,11010289,YES,2011
EE04,EE17,11010289,YES,2011
EE04,EE22,11010289,YES,2011
EE13,EE17,11010289,YES,2011
EE13,EE22,11010289,YES,2011
EE17,EE22,11010289,YES,2011
LAI04,LAI14,11010291,NO,2011
MIM04,MIM06,11010296,NO,2011
MIM04,BCLS03,11010296,NO,2011
MIM06,BCLS03,11010296,NO,2011
MAE04,LAI07,11010300,NO,2011
GLY03,GLY08,11010340,NO,2011
RIA03,RIA05,11010353,NO,2011
SS03,SS13,11010365,NO,2011
SS03,SS24,11010365,NO,2011
SS03,SS16,11010365,NO,2011
SS13,SS24,11010365,NO,2011
SS13,SS16,11010365,NO,2011
SS24,SS16,11010365,NO,2011
GYN02,PB04,11010366,NO,2011
GYN02,PB14,11010366,NO,2011
PB04,PB14,11010366,NO,2011
ELP06,ELP01,11010367,NO,2011
CCR02,CE07,11010368,NO,2011
CCR02,CE12,11010368,NO,2011
CE07,CE12,11010368,NO,2011
CHE08,CHE21,11020406,NO,2011
NEU02,PSY09,11020408,NO,2011
CHE18,CE13,11020411,YES,2011
CIE05,CIE22,11020412,NO,2011
CIE05,GEO08,11020412,NO,2011
CIE22,GEO08,11020412,NO,2011
URO01,PEI47,11020413,NO,2011
MDC11,MDC16,11020415,NO,2011
MDC11,ILPB07,11020415,NO,2011
MDC16,ILPB07,11020415,NO,2011
PB19,CDS16,11020416,NO,2011
PB19,MAE17,11020416,NO,2011
PB19,CDS05,11020416,NO,2011
CDS16,MAE17,11020416,NO,2011
CDS16,CDS05,11020416,NO,2011
MAE17,CDS05,11020416,NO,2011
ODS02,ODS08,11020438,NO,2011
RES05,ARC06,11020509,YES,2011
IE01,IE06,11020519,NO,2011
MDC34,PEI48,11020524,NO,2011
CIE14,CIE18,11020525,NO,2011
CIE14,CIE18,11020568,NO,2011
PB02,PB10,11020570,NO,2011
CHI09,CHI07,11020598,YES,2011
EE16,PHY10,11020605,NO,2011
MAE12,PAS03,11020610,NO,2011
CCR02,CCR03,11030621,NO,2011
CCR02,CCR06,11030621,NO,2011
CCR02,MTH12,11030621,NO,2011
CCR02,GLY16,11030621,NO,2011
CCR03,CCR06,11030621,NO,2011
CCR03,MTH12,11030621,NO,2011
CCR03,GLY16,11030621,NO,2011
CCR06,MTH12,11030621,NO,2011
CCR06,GLY16,11030621,NO,2011
MTH12,GLY16,11030621,NO,2011
SUR06,SUR07,11030655,YES,2011
SUR06,SUR09,11030655,YES,2011
SUR07,SUR09,11030655,YES,2011
CE17,MIM10,11030658,NO,2011
EE04,CSE09,11030659,NO,2011
EE04,EE13,11030659,NO,2011
EE04,EE17,11030659,NO,2011
EE04,EE22,11030659,NO,2011
CSE09,EE13,11030659,NO,2011
CSE09,EE17,11030659,NO,2011
CSE09,EE22,11030659,NO,2011
EE13,EE17,11030659,NO,2011
EE13,EE22,11030659,NO,2011
EE17,EE22,11030659,NO,2011
CDS05,NUM06,11030660,NO,2011
CSE06,CSE37,11030675,YES,2011
CSE06,CSE28,11030675,YES,2011
CSE37,CSE28,11030675,YES,2011
RES02,RES15,11030676,YES,2011
CIE24,EE06,11030693,NO,2011
CIE24,EE11,11030693,NO,2011
EE06,EE11,11030693,NO,2011
CHI03,MDC16,11030698,NO,2011
CHD03,CDS16,11030702,NO,2011
CSEP01,CSEP04,11030731,NO,2011
CSEP01,CSEP08,11030731,NO,2011
CSEP04,CSEP08,11030731,NO,2011
CHE03,CHE20,11030754,YES,2011
CHE03,EE06,11030755,YES,2011
CSE06,CSE07,11030756,YES,2011
CSE06,CSE37,11030756,YES,2011
CSE06,MAE12,11030756,YES,2011
CSE06,IE08,11030756,YES,2011
CSE07,CSE37,11030756,YES,2011
CSE07,MAE12,11030756,YES,2011
CSE07,IE08,11030756,YES,2011
CSE37,MAE12,11030756,YES,2011
CSE37,IE08,11030756,YES,2011
MAE12,IE08,11030756,YES,2011
EE04,EE13,11030759,NO,2011
EE04,EE17,11030759,NO,2011
EE04,EE22,11030759,NO,2011
EE13,EE17,11030759,NO,2011
EE13,EE22,11030759,NO,2011
EE17,EE22,11030759,NO,2011
CE18,PHS08,11030761,YES,2011
EE04,EE13,11030762,YES,2011
EE04,EE17,11030762,YES,2011
EE13,EE17,11030762,YES,2011
EE04,EE13,11030764,YES,2011
EE04,EE17,11030764,YES,2011
EE13,EE17,11030764,YES,2011
EEH02,BST05,11030767,NO,2011
EEH02,PHS09,11030767,NO,2011
EEH02,CSE32,11030767,NO,2011
BST05,PHS09,11030767,NO,2011
BST05,CSE32,11030767,NO,2011
PHS09,CSE32,11030767,NO,2011
CSE16,CSE23,11030768,NO,2011
MGS02,CSE30,11030772,NO,2011
LIS04,LIS02,11030778,NO,2011
CSE09,CEDAR01,11030801,NO,2011
CSEP04,CSEP08,11030802,NO,2011
LAI01,LAI04,11030803,NO,2011
LAI01,LAI20,11030803,NO,2011
LAI04,LAI20,11030803,NO,2011
CSEP01,LAI01,11030808,NO,2011
CSEP01,LAI04,11030808,NO,2011
LAI01,LAI04,11030808,NO,2011
CHI03,COM03,11030809,NO,2011
CHI03,CSE09,11030809,NO,2011
COM03,CSE09,11030809,NO,2011
PB06,PB15,11030810,NO,2011
PB06,PB16,11030810,NO,2011
PB15,PB16,11030810,NO,2011
CSE21,CSE23,11030813,NO,2011
MAE05,MAE23,11030819,NO,2011
MAE05,IE04,11030820,NO,2011
LAI10,CIE26,11030846,YES,2011
PHY06,PHY12,11030849,YES,2011
CE17,MIM10,11030859,NO,2011
CIE03,GEO03,11030888,NO,2011
BST05,BST12,11030893,NO,2011
BCH02,BCH08,11030908,NO,2011
OBL03,OBL07,11030909,NO,2011
OBL03,OBL08,11030909,NO,2011
OBL07,OBL08,11030909,NO,2011
FMM02,FMM15,11030910,YES,2011
