ID,PID,Awarded,Year
STEP02,11010051,YES,2011
SNG17,11010074,YES,2011
FMM08,11010087,YES,2011
BIO19,11010094,NO,2011
BCH18,11010096,NO,2011
CHE23,11010100,NO,2011
MAE18,11010101,NO,2011
GLY04,11010102,NO,2011
BIO20,11010103,NO,2011
BIO07,11010104,NO,2011
PHS05,11010128,YES,2011
ODS13,11010131,NO,2011
PSY10,11010161,NO,2011
MDC19,11010210,YES,2011
MDC19,11010211,YES,2011
CIE14,11010212,YES,2011
LIN01,11010213,YES,2011
BIO18,11010214,NO,2011
IE12,11010215,NO,2011
ENS04,11010216,YES,2011
CE10,11010217,YES,2011
GLY03,11010218,NO,2011
MTH06,11010219,NO,2011
GLY02,11010220,NO,2011
CE04,11010221,NO,2011
EE27,11010222,NO,2011
CDS15,11010229,NO,2011
CIE13,11010231,YES,2011
LAI11,11010234,YES,2011
BIO16,11010237,NO,2011
MIM15,11010241,NO,2011
CDS02,11010242,NO,2011
CPMC01,11010255,YES,2011
BIO21,11010256,YES,2011
PEI07,11010258,NO,2011
BIO18,11010259,NO,2011
BIO18,11010260,NO,2011
CHE22,11010264,NO,2011
PEI39,11010265,NO,2011
CSE19,11010266,YES,2011
URP08,11010267,NO,2011
MAE09,11010268,NO,2011
APY01,11010269,NO,2011
PHY22,11010270,NO,2011
PHY22,11010271,NO,2011
BIO12,11010272,NO,2011
BIO04,11010273,YES,2011
IE06,11010274,NO,2011
PHA21,11010276,NO,2011
MAE04,11010277,NO,2011
GEO03,11010279,NO,2011
PEI19,11010281,NO,2011
IE13,11010282,NO,2011
EE11,11010285,NO,2011
MIM10,11010286,NO,2011
MAE20,11010287,NO,2011
MIM16,11010288,NO,2011
CSE37,11010290,NO,2011
EE27,11010292,NO,2011
PT09,11010293,NO,2011
GEO09,11010294,NO,2011
PHY10,11010295,NO,2011
MTH03,11010298,NO,2011
MAE23,11010299,YES,2011
EE13,11010301,NO,2011
MIM16,11010302,NO,2011
BIO08,11010303,NO,2011
IE14,11010304,NO,2011
MAE04,11010305,NO,2011
CSE09,11010306,NO,2011
BIO13,11010307,NO,2011
SEEL01,11010308,NO,2011
PB11,11010309,YES,2011
CRSE01,11010310,YES,2011
LAW06,11010311,NO,2011
OPH02,11010338,YES,2011
PSY05,11010339,NO,2011
MAE23,11010341,YES,2011
BST08,11010342,NO,2011
CE17,11010362,NO,2011
PSY09,11010363,NO,2011
CHE14,11010364,NO,2011
CHE12,11010369,NO,2011
FMM15,11010370,NO,2011
CHD02,11010372,NO,2011
SS09,11010373,YES,2011
ENG05,11020388,YES,2011
PEI25,11020390,YES,2011
PHI02,11020402,YES,2011
TCIE01,11020403,YES,2011
TCIE01,11020404,YES,2011
TCIE01,11020405,YES,2011
CHE07,11020407,YES,2011
IE06,11020409,NO,2011
GYN02,11020410,NO,2011
PHA04,11020414,YES,2011
SSW11,11020417,YES,2011
CHE23,11020434,NO,2011
CSE07,11020435,NO,2011
IE04,11020437,NO,2011
CIE03,11020439,NO,2011
CSE37,11020444,YES,2011
ART01,11020480,YES,2011
MDC36,11020482,YES,2011
GLY08,11020510,YES,2011
ANE03,11020511,NO,2011
PT09,11020512,YES,2011
CHI08,11020513,NO,2011
GEO03,11020514,NO,2011
PHI02,11020515,YES,2011
MIM11,11020516,NO,2011
GEO12,11020517,NO,2011
APY01,11020518,NO,2011
CEL01,11020520,NO,2011
CHHB03,11020529,NO,2011
PEI39,11020530,YES,2011
TCIE01,11020564,YES,2011
BST08,11020567,NO,2011
CIE05,11020569,YES,2011
ARC05,11020571,YES,2011
PHS07,11020572,NO,2011
CE18,11020573,YES,2011
APY11,11020574,NO,2011
RES13,11020575,YES,2011
RTD01,11020599,YES,2011
PHS10,11020602,YES,2011
PHS10,11020603,YES,2011
CHI03,11020604,NO,2011
MIM03,11020606,NO,2011
CSEP03,11020607,NO,2011
EEH14,11020608,YES,2011
CDS09,11020609,YES,2011
MAE04,11020611,NO,2011
RES09,11020613,NO,2011
TCIE01,11030620,YES,2011
SS11,11030622,YES,2011
SSW03,11030624,YES,2011
SSW03,11030625,YES,2011
EE14,11030626,YES,2011
MIM07,11030656,NO,2011
CCR02,11030657,YES,2011
BCH17,11030661,NO,2011
CHD03,11030662,NO,2011
CE18,11030664,NO,2011
SNG10,11030666,YES,2011
EEH11,11030670,NO,2011
MIM19,11030671,NO,2011
CCR05,11030672,NO,2011
LIN03,11030673,NO,2011
PHS03,11030674,NO,2011
CHE05,11030677,YES,2011
BST05,11030694,NO,2011
PEI08,11030695,YES,2011
PHA05,11030696,YES,2011
CDS05,11030697,NO,2011
ENS02,11030700,NO,2011
COF02,11030701,NO,2011
PEI15,11030703,YES,2011
PEI47,11030709,YES,2011
CSE37,11030711,NO,2011
FMM08,11030713,NO,2011
MAE02,11030714,NO,2011
MAE02,11030715,NO,2011
MAE02,11030716,NO,2011
CSE13,11030717,NO,2011
SS12,11030727,YES,2011
SS12,11030728,YES,2011
MDC40,11030730,NO,2011
CIE20,11030750,YES,2011
RTD01,11030751,YES,2011
PHS06,11030752,NO,2011
PHA24,11030753,NO,2011
EE14,11030757,NO,2011
EE11,11030758,YES,2011
EE29,11030760,NO,2011
CSEP05,11030763,NO,2011
MDC20,11030769,YES,2011
CBLS01,11030800,YES,2011
MTH15,11030804,NO,2011
CSE36,11030805,NO,2011
SS11,11030806,YES,2011
MDC24,11030807,NO,2011
CSE30,11030811,NO,2011
PHA14,11030812,YES,2011
BST09,11030814,NO,2011
PHA19,11030821,NO,2011
NEU13,11030826,YES,2011
NEU16,11030827,YES,2011
PHS08,11030828,YES,2011
PHA14,11030829,YES,2011
FMM08,11030847,YES,2011
CE10,11030848,NO,2011
CE08,11030850,NO,2011
MAE08,11030851,NO,2011
CHE01,11030861,NO,2011
CE06,11030862,NO,2011
PEI44,11030884,YES,2011
CE13,11030885,YES,2011
BCH10,11030886,NO,2011
ENS08,11030887,NO,2011
CHE12,11030889,YES,2011
CHE01,11030890,NO,2011
CHE18,11030891,NO,2011
MIM11,11030892,YES,2011
NEU10,11030905,YES,2011
CIE24,11030906,NO,2011
CHE17,11030907,NO,2011
ANE03,11030916,NO,2011
PHA14,11030924,YES,2011
PHY12,11030925,NO,2011
CSE01,11030943,YES,2011
OPH01,11030944,NO,2011
CHE03,11030947,NO,2011
MDC16,11030948,NO,2011
MAE08,11030949,YES,2011
PHS14,11030959,NO,2011
PHS12,11030964,NO,2011
BIO07,11041001,NO,2011
MDC24,11041002,YES,2011
MTH02,11041003,YES,2011
BST12,11041004,NO,2011
SNG16,11041005,NO,2011
LAI13,11041007,NO,2011
MAE04,11041010,NO,2011
PED05,11041011,NO,2011
CIE24,11041015,YES,2011
IE13,11041018,NO,2011
MTH11,11041026,YES,2011
CHE05,11041032,NO,2011
MGS02,11041034,NO,2011
PT17,11041035,NO,2011
MAE03,11041037,NO,2011
MAE06,11041039,NO,2011
PSY03,11041047,YES,2011
PHY21,11041054,YES,2011
BCH18,11041082,NO,2011
OBL09,11041084,NO,2011
CDS12,11041086,YES,2011
MIM19,11041089,NO,2011
CHE01,11041090,NO,2011
PT14,11041091,NO,2011
PB01,11041092,NO,2011
CL01,11041093,NO,2011
BIO23,11041094,YES,2011
BIO18,11041096,NO,2011
BIO04,11041098,YES,2011
PHI02,11041100,NO,2011
TCIE01,11041101,YES,2011
CDS03,11041120,YES,2011
CHE13,11041121,YES,2011
BCH15,11041122,NO,2011
PHY17,11041123,YES,2011
BST12,11041124,NO,2011
PEI04,11041126,YES,2011
EE13,11041129,NO,2011
MGM02,11041130,NO,2011
BST12,11041132,NO,2011
BST08,11041134,NO,2011
PHA23,11041136,NO,2011
PSC03,11041138,YES,2011
PHA22,11041152,NO,2011
PHA14,11041158,YES,2011
SCO05,11041159,NO,2011
CSE06,11041161,YES,2011
CHHB02,11041162,NO,2011
CSE37,11041163,NO,2011
SNG10,11041165,YES,2011
CIE25,11041176,NO,2011
PT05,11041177,NO,2011
PT05,11041178,NO,2011
CHHB03,11041180,YES,2011
ANE02,11041181,NO,2011
D001,11041184,YES,2011
APY05,11041185,NO,2011
APY05,11041186,NO,2011
PEI02,11041209,YES,2011
TCIE01,11041210,YES,2011
MIM07,11041214,NO,2011
OBL01,11041221,NO,2011
BIO17,11041233,NO,2011
PB15,11041234,YES,2011
EEH09,11041235,NO,2011
CSE28,11041239,YES,2011
OBL09,11041241,NO,2011
ILPB02,11041242,NO,2011
MTH02,11041248,NO,2011
MAE05,11041251,YES,2011
BST08,11041252,NO,2011
RTD02,11041273,YES,2011
BST05,11041274,NO,2011
CHE12,11041275,YES,2011
PHS12,11041276,NO,2011
CHI03,11041278,NO,2011
PHA19,11041280,NO,2011
NER03,11041309,YES,2011
PEI42,11041310,YES,2011
CIE25,11041311,NO,2011
PED04,11041313,NO,2011
PHY10,11041314,NO,2011
MDC27,11041315,YES,2011
PHY10,11041316,YES,2011
BST05,11041317,NO,2011
ENS05,11041318,NO,2011
EE20,11041319,YES,2011
EE20,11041321,NO,2011
CSEP03,11041324,NO,2011
PT16,11041327,NO,2011
EEH07,11041335,YES,2011
CHI05,11041341,YES,2011
PHS12,11041352,YES,2011
ODS10,11041353,NO,2011
OBL09,11041356,NO,2011
CHI05,11041373,YES,2011
CHI05,11041374,YES,2011
EEH11,11041375,YES,2011
RLL03,11041376,YES,2011
PEI04,11041377,NO,2011
FMM14,11041381,NO,2011
NEU21,11041401,YES,2011
BCH08,11041402,YES,2011
CDS14,11041403,YES,2011
EE06,11041404,YES,2011
PHS08,11041405,NO,2011
CHE01,11041407,NO,2011
PSY08,11041408,NO,2011
MAE05,11041409,NO,2011
PEI15,11041411,NO,2011
MTH06,11041419,YES,2011
MIM10,11041422,NO,2011
CDS12,11041423,NO,2011
PB11,11051432,YES,2011
PHY22,11051433,YES,2011
