from_vertex_id,to_vertex_id,Start,End,Proposal,Award
CHE18,CE13,0.05,3.5,11020411,YES
CHE18,MDC24,0.1,3.5,11072169,NO
CHE18,CE13,0.15,3.5,11072170,NO
CHE18,CE13,0.2,3.5,11124075,YES
CHE18,MDC25,0.25,3.5,11124275,NO
CHE18,ILPB05,0.3,3.5,11041009,NO
CHE18,PAS02,0.35,3.5,11041160,NO
CHE18,ANE03,0.35,3.5,11041160,NO
PAS02,ANE03,0.35,3.5,11041160,NO
CHE18,ILPB06,0.4,3.5,11041282,NO
CHE18,PAS02,0.4,3.5,11041282,NO
PAS02,ILPB06,0.4,3.5,11041282,NO
CHE18,ILPB04,0.45,3.5,11041283,NO
CHE18,CE04,0.5,3.5,11051472,NO
CHE18,CHE03,0.55,3.5,11061851,NO
CHE18,ANE01,0.6,3.5,11072169,NO
CHE18,CHE25,0.6,3.5,11072169,NO
CHE18,ANE03,0.6,3.5,11072169,NO
ANE01,CHE25,0.6,3.5,11072169,NO
ANE01,ANE03,0.6,3.5,11072169,NO
CHE25,ANE03,0.6,3.5,11072169,NO
CHE18,ILPB02,0.65,3.5,11072170,NO
CHE18,CHE12,0.65,3.5,11072170,NO
ILPB02,CHE12,0.65,3.5,11072170,NO
CHE18,ANE01,0.7,3.5,11082693,NO
CHE18,ANE03,0.7,3.5,11082693,NO
ANE01,ANE03,0.7,3.5,11082693,NO
CHE18,ILPB02,0.75,3.5,11082826,NO
CHE18,BME01,0.75,3.5,11082826,NO
CHE18,ILPB04,0.75,3.5,11082826,NO
ILPB02,BME01,0.75,3.5,11082826,NO
BME01,ILPB04,0.75,3.5,11082826,NO
ILPB02,ILPB04,0.75,3.5,11082826,NO
CHE18,CE04,0.8,3.5,11093001,YES
CHE18,ILPB01,0.85,3.5,11093006,NO
CHE18,ILPB04,0.9,3.5,11093061,NO
CHE18,CHI03,0.95,3.5,11093146,NO
CHE18,PAS02,0.95,3.5,11093146,NO
CHE18,MDC16,0.95,3.5,11093146,NO
CHI03,PAS02,0.95,3.5,11093146,NO
CHI03,MDC16,0.95,3.5,11093146,NO
PAS02,MDC16,0.95,3.5,11093146,NO
CHE18,ILPB02,1,3.5,11093196,NO
CHE18,CHE25,1,3.5,11093196,NO
CHE18,ILPB05,1,3.5,11093196,NO
ILPB02,CHE25,1,3.5,11093196,NO
ILPB02,ILPB05,1,3.5,11093196,NO
ILPB02,ILPB05,1,3.5,11093196,NO
CHE18,MDC33,1.05,3.5,11124275,NO
CHE18,MDC41,1.05,3.5,11124275,NO
MDC33,MDC41,1.05,3.5,11124275,NO
CHE18,ILPB05,1.1,3.5,11124278,NO
CHE18,ILPB02,1.15,3.5,11124279,NO
CHE18,ILPB05,1.15,3.5,11124279,NO
ILPB02,ILPB05,1.15,3.5,11124279,NO
CHE18,CE13,1.2,3.5,12010041,NO
CHE18,CE13,1.25,3.5,12031138,NO
CHE18,EE24,1.25,3.5,12031138,NO
CE13,EE24,1.25,3.5,12031138,NO
CHE18,MDC25,1.3,3.5,12052204,YES
CHE18,CE13,1.35,3.5,12083290,NO
CHE18,CE13,1.4,3.5,12093861,YES
CHE18,CSE32,1.4,3.5,12093861,YES
CE13,CSE32,1.4,3.5,12093861,YES
CHE18,PHA10,1.45,3.5,12010106,NO
CHE18,PHA14,1.45,3.5,12010106,NO
PHA10,PHA14,1.45,3.5,12010106,NO
EE05,EE06,1.5,3.5,12031138,NO
EE05,ILPB02,1.5,3.5,12031138,NO
EE05,EE09,1.5,3.5,12031138,NO
EE05,EE11,1.5,3.5,12031138,NO
EE05,DO02,1.5,3.5,12031138,NO
EE05,EE14,1.5,3.5,12031138,NO
EE05,CHE18,1.5,3.5,12031138,NO
EE05,CE13,1.5,3.5,12031138,NO
EE05,EE24,1.5,3.5,12031138,NO
EE06,ILPB02,1.5,3.5,12031138,NO
EE06,EE09,1.5,3.5,12031138,NO
EE06,EE11,1.5,3.5,12031138,NO
EE06,DO02,1.5,3.5,12031138,NO
EE06,EE14,1.5,3.5,12031138,NO
EE06,CHE18,1.5,3.5,12031138,NO
EE06,CE13,1.5,3.5,12031138,NO
EE06,EE24,1.5,3.5,12031138,NO
ILPB02,EE09,1.5,3.5,12031138,NO
ILPB02,EE11,1.5,3.5,12031138,NO
ILPB02,DO02,1.5,3.5,12031138,NO
ILPB02,EE14,1.5,3.5,12031138,NO
ILPB02,CHE18,1.5,3.5,12031138,NO
ILPB02,CE13,1.5,3.5,12031138,NO
ILPB02,EE24,1.5,3.5,12031138,NO
EE09,EE11,1.5,3.5,12031138,NO
EE09,DO02,1.5,3.5,12031138,NO
EE09,EE14,1.5,3.5,12031138,NO
EE09,CHE18,1.5,3.5,12031138,NO
EE09,CE13,1.5,3.5,12031138,NO
EE09,EE24,1.5,3.5,12031138,NO
EE11,DO02,1.5,3.5,12031138,NO
EE11,EE14,1.5,3.5,12031138,NO
EE11,CHE18,1.5,3.5,12031138,NO
EE11,CE13,1.5,3.5,12031138,NO
EE11,EE24,1.5,3.5,12031138,NO
DO02,EE14,1.5,3.5,12031138,NO
DO02,CHE18,1.5,3.5,12031138,NO
DO02,CE13,1.5,3.5,12031138,NO
DO02,EE24,1.5,3.5,12031138,NO
EE14,CHE18,1.5,3.5,12031138,NO
EE14,CE13,1.5,3.5,12031138,NO
EE14,EE24,1.5,3.5,12031138,NO
CHE18,CE13,1.5,3.5,12031138,NO
CHE18,EE24,1.5,3.5,12031138,NO
CE13,EE24,1.5,3.5,12031138,NO
CHE18,PHA10,1.55,3.5,12041602,NO
CHE18,PHA14,1.55,3.5,12041602,NO
PHA14,PHA10,1.55,3.5,12041602,NO
CHE18,ANE02,1.6,3.5,12041701,NO
CHE18,ILPB03,1.65,3.5,12041704,NO
CHE18,ANE02,1.7,3.5,12041709,NO
CHE18,ILPB05,1.75,3.5,12041710,NO
CHE18,CE04,1.8,3.5,12041907,YES
CHE18,ILPB04,1.85,3.5,12051954,NO
CHE18,MDC33,1.9,3.5,12052204,YES
CHE18,ILPB03,1.9,3.5,12052204,YES
CHE18,MDC41,1.9,3.5,12052204,YES
MDC33,ILPB03,1.9,3.5,12052204,YES
MDC33,MDC41,1.9,3.5,12052204,YES
ILPB03,MDC41,1.9,3.5,12052204,YES
CHE18,ILPB04,1.95,3.5,12052250,NO
CHE18,PB05,2,3.5,12062422,NO
CHE18,CHE25,2,3.5,12062422,NO
PB05,CHE25,2,3.5,12062422,NO
CHE18,ILPB04,2.05,3.5,12072830,NO
CHE18,CHE03,2.1,3.5,12083290,NO
CHE18,EE06,2.15,3.5,12083290,NO
CHE18,EE09,2.15,3.5,12083290,NO
CHE03,EE06,2.15,3.5,12083290,NO
CHE03,EE09,2.15,3.5,12083290,NO
EE06,EE09,2.15,3.5,12083290,NO
CHE18,CHE25,2.2,3.5,12083706,NO
CHE18,ILPB05,2.2,3.5,12083706,NO
CHE25,ILPB05,2.2,3.5,12083706,NO
CHE18,ANE01,2.25,3.5,12093799,NO
CHE18,ANE03,2.25,3.5,12093799,NO
ANE01,ANE03,2.25,3.5,12093799,NO
CHE18,ANE01,2.3,3.5,12104095,NO
CHE18,ANE03,2.3,3.5,12104095,NO
ANE01,ANE03,2.3,3.5,12104095,NO
CHE18,CHE25,2.35,3.5,12114752,NO
CHE18,ILPB05,2.35,3.5,12114752,NO
CHE25,ILPB05,2.35,3.5,12114752,NO
CHE18,PHA19,2.4,3.5,13051904,YES
CHE18,CE13,2.45,3.5,13051943,NO
CHE18,CE13,2.5,3.5,13052048,NO
CHE18,CE13,2.55,3.5,13124470,NO
CHE18,PAS02,2.6,3.5,13010322,NO
CHE18,ANE03,2.6,3.5,13010322,NO
PAS02,ANE03,2.6,3.5,13010322,NO
CHE18,PAS02,2.65,3.5,13041368,NO
CHE18,ILPB04,2.7,3.5,13041387,NO
CHE18,PHA14,2.75,3.5,13051863,NO
CHE18,PHA14,2.8,3.5,13051904,YES
CHE18,ILPB01,2.85,3.5,13051943,NO
CHE18,ILPB02,2.85,3.5,13051943,NO
ILPB01,ILPB02,2.85,3.5,13051943,NO
CHE18,ILPB02,2.9,3.5,13052055,NO
CHE18,BME01,2.9,3.5,13052055,NO
CHE18,ILPB04,2.9,3.5,13052055,NO
ILPB02,BME01,2.9,3.5,13052055,NO
BME01,ILPB04,2.9,3.5,13052055,NO
ILPB02,ILPB04,2.9,3.5,13052055,NO
CHE18,CHI03,2.95,3.5,13083207,NO
CHE18,PAS02,2.95,3.5,13083207,NO
CHE18,MDC16,2.95,3.5,13083207,NO
CHI03,PAS02,2.95,3.5,13083207,NO
CHI03,MDC16,2.95,3.5,13083207,NO
PAS02,MDC16,2.95,3.5,13083207,NO
CHE18,ILPB02,3,3.5,13124470,NO
CHE18,MDC16,3,3.5,13124700,NO
CHE18,MDC18,3,3.5,13124700,NO
ILPB02,MDC16,3,3.5,13124700,NO
ILPB02,MDC18,3,3.5,13124700,NO
MDC16,MDC18,3,3.5,13124700,NO
