Race,Travel Time (min)
White,6
White,90
White,10
White,90
White,15
White,10
White,5
White,5
White,10
White,40
White,35
White,45
White,45
White,30
White,4
White,15
White,30
White,21
White,2
White,7
White,10
White,15
White,15
White,490
White,490
White,39
White,10
White,30
White,30
White,30
White,20
White,10
White,10
White,20
White,4
White,15
White,50
White,30
White,50
White,50
White,17
White,18
White,3
White,90
White,25
White,10
White,15
White,12
White,20
White,3
White,20
White,5
White,5
White,23
White,23
White,2
White,5
White,10
White,15
White,10
White,10
White,10
White,10
White,10
White,10
White,30
White,12
White,60
White,70
White,25
White,25
White,7
White,10
White,25
White,35
White,40
White,5
White,2
White,30
White,30
White,10
White,21
White,30
White,20
White,15
White,40
White,10
White,10
White,30
White,8
White,10
White,10
White,30
White,5
White,45
White,20
White,20
White,15
White,15
White,15
White,28
White,15
White,30
White,15
White,30
White,30
White,25
White,5
White,5
White,25
White,75
White,75
White,20
White,20
White,20
White,20
White,18
White,10
White,31
White,41
White,20
White,30
White,10
White,5
White,15
White,10
White,5
White,2
White,15
White,35
White,80
White,10
White,70
White,80
White,30
White,45
White,15
White,20
White,10
White,20
White,45
White,60
White,60
White,15
White,15
White,25
White,99
White,16
White,10
White,45
White,30
White,10
White,15
White,35
White,30
White,30
White,10
White,7
White,420
White,15
White,11
White,30
White,30
White,30
White,15
White,16
White,5
White,5
White,5
White,10
White,5
White,5
White,60
White,20
White,5
White,10
White,2
White,25
White,25
White,25
White,10
White,30
White,15
White,5
White,8
White,6
White,30
White,170
White,30
White,17
White,17
White,17
White,15
White,35
White,25
White,5
White,5
White,10
White,20
White,30
White,2
White,10
White,45
White,10
White,2
White,20
White,32
White,25
White,25
White,14
White,30
White,7
White,50
White,15
White,5
White,10
White,20
White,30
White,10
White,10
White,10
White,30
White,10
White,10
White,20
White,36
White,-1
White,80
White,80
White,30
White,50
White,50
White,20
White,24
White,32
White,32
White,90
White,15
White,14
White,15
White,15
White,15
White,15
White,30
White,8
White,3
White,14
White,45
White,10
White,25
White,7
White,20
White,5
White,7
White,7
White,5
White,2
White,20
White,70
White,50
White,50
White,30
White,10
White,90
White,35
White,18
White,45
White,25
White,5
White,6
White,15
White,20
White,25
White,25
White,30
White,10
White,25
White,16
White,240
White,90
White,8
White,10
White,10
White,15
White,10
White,15
White,25
White,34
White,15
White,20
White,35
White,35
White,18
White,74
White,11
White,22
White,10
White,15
White,22
White,15
White,60
White,15
White,50
White,10
White,5
White,1
White,30
White,10
White,5
White,1
White,10
White,12
White,25
White,14
White,50
White,30
White,30
White,35
White,35
White,15
White,5
White,20
White,30
White,15
White,35
White,8
White,15
White,30
White,30
White,15
White,25
White,10
White,35
White,35
White,3
White,8
White,9
White,25
White,25
White,25
White,20
White,12
White,25
White,20
White,20
White,24
White,24
White,60
White,75
White,10
White,60
White,25
White,41
White,22
White,30
White,20
White,30
White,35
White,7
White,20
White,15
White,30
White,5
White,5
White,19
White,19
White,19
White,10
White,45
White,40
White,2
White,30
White,15
White,15
White,15
White,95
White,3
White,2
White,15
White,15
White,15
White,15
White,20
White,10
White,10
White,5
White,50
White,30
White,30
White,45
White,7
White,7
White,10
White,15
White,20
White,15
White,15
White,10
White,32
White,30
White,20
White,13
White,10
White,14
White,15
White,21
White,20
White,20
White,10
White,25
White,10
White,15
White,4
White,5
White,19
White,40
White,40
White,15
White,9
White,9
White,15
White,9
White,5
White,15
White,2
White,10
White,10
White,5
White,15
White,45
White,15
White,10
White,20
White,6
White,100
White,10
White,5
White,15
White,10
White,20
White,10
White,10
White,10
White,10
White,60
White,20
White,30
White,45
White,20
White,25
White,15
White,15
White,9
White,5
White,50
White,25
White,25
White,12
White,50
White,44
White,50
White,44
White,15
White,40
White,5
White,15
White,10
White,28
White,7
White,70
White,10
White,10
White,7
White,8
White,23
White,15
White,23
White,30
White,10
White,20
White,5
White,5
White,50
White,5
White,45
White,24
White,5
White,45
White,24
White,40
White,40
White,15
White,5
White,5
White,50
White,45
White,30
White,3
White,20
White,20
White,15
White,15
White,80
White,15
White,10
White,97
White,60
White,30
White,165
White,63
White,3
White,5
White,5
White,20
White,7
White,25
White,3
White,3
White,30
White,20
White,7
White,10
White,25
White,35
White,60
White,25
White,60
White,10
White,25
White,3
White,155
White,40
White,10
White,30
White,24
White,20
White,8
White,8
White,2
White,25
White,95
White,10
White,25
White,95
White,15
White,10
White,30
White,16
White,15
White,30
White,16
White,15
White,40
White,15
White,10
White,15
White,10
White,60
White,120
White,15
White,10
White,10
White,10
White,34
White,15
White,4
White,1
White,5
White,5
White,65
White,40
White,23
White,15
White,15
White,10
White,25
White,15
White,55
White,55
White,15
White,5
White,20
White,10
White,45
White,40
White,21
White,21
White,15
White,20
White,30
White,30
White,28
